"","Sample","Sample.Type","Color"
"258","GRP_Medi.115p6","Normal_WB","GREEN"
"365","MA43_Medi.102","Normal_WB","GREEN"
"366","MA43_Medi.104","Normal_WB","GREEN"
"367","MA43_Medi.107","Normal_WB","GREEN"
"368","MA43_Medi.110","Normal_WB","GREEN"
"369","MA43_Medi.113","Normal_WB","GREEN"
"370","MA43_Medi.118","Normal_WB","GREEN"
"371","MA43_Medi.127","Normal_WB","GREEN"
"372","MA43_Medi.129","Normal_WB","GREEN"
"373","MA43_Medi.144","Normal_WB","GREEN"
"374","MA43_Medi.150","Normal_WB","GREEN"
"375","MA43_Medi.156","Normal_WB","GREEN"
"376","MA43_Medi.159","Normal_WB","GREEN"
"377","MA43_Medi.161","Normal_WB","GREEN"
"378","MA43_Medi.165","Normal_WB","GREEN"
"379","MA43_Medi.167","Normal_WB","GREEN"
"380","MA43_Medi.171","Normal_WB","GREEN"
"381","MA43_Medi.175","Normal_WB","GREEN"
"382","MA43_Medi.179b","Normal_WB","GREEN"
"383","MA43_Medi.184","Normal_WB","GREEN"
"384","MA43_Medi.191","Normal_WB","GREEN"
"385","MA43_Medi.206b","Normal_WB","GREEN"
"386","MA43_Medi.219","Normal_WB","GREEN"
"387","MA43_Medi.233","Normal_WB","GREEN"
"388","RE542_WB_Normal_124a","Normal_WB","GREEN"
"389","RE542_WB_Normal_126","Normal_WB","GREEN"
"390","RE542_WB_Normal_130","Normal_WB","GREEN"
"391","RE542_WB_Normal_133","Normal_WB","GREEN"
"392","RE542_WB_Normal_134","Normal_WB","GREEN"
"393","RE542_WB_Normal_137","Normal_WB","GREEN"
"394","RE542_WB_Normal_141","Normal_WB","GREEN"
"395","RE542_WB_Normal_142","Normal_WB","GREEN"
"396","RE542_WB_Normal_171","Normal_WB","GREEN"
"397","RE542_WB_Normal_173","Normal_WB","GREEN"
"398","RE542_WB_Normal_186","Normal_WB","GREEN"
"399","RE542_WB_Normal_25","Normal_WB","GREEN"
"400","RE542_WB_Normal_38a","Normal_WB","GREEN"
"401","RE542_WB_Normal_40a","Normal_WB","GREEN"
"402","RE542_WB_Normal_41a","Normal_WB","GREEN"
"403","RE542_WB_Normal_42a","Normal_WB","GREEN"
"404","RE542_WB_Normal_43a","Normal_WB","GREEN"
"405","RE542_WB_Normal_44a","Normal_WB","GREEN"
"406","RE542_WB_Normal_45a","Normal_WB","GREEN"
"407","RE580_329","Normal_WB","GREEN"
"408","RE580_421","Normal_WB","GREEN"
"409","RE580_447","Normal_WB","GREEN"
"410","RE580_455","Normal_WB","GREEN"
"411","RE580_498","Normal_WB","GREEN"
"412","RE580_525","Normal_WB","GREEN"
"413","RE580_572","Normal_WB","GREEN"
"414","RE580_574","Normal_WB","GREEN"
"415","RE580_577","Normal_WB","GREEN"
"416","RE580_580","Normal_WB","GREEN"
"2","CP152_WBR1_CF07592","SLE_WB","RED"
"3","CP152_WBR1_CF07614","SLE_WB","RED"
"4","CP152_WBR1_CF07630","SLE_WB","RED"
"5","CP152_WBR1_CF07665","SLE_WB","RED"
"6","CP152_WBR1_CF07666","SLE_WB","RED"
"7","CP152_WBR1_CF07670","SLE_WB","RED"
"8","CP152_WBR1_CF07676","SLE_WB","RED"
"9","CP152_WBR1_CF07678","SLE_WB","RED"
"10","CP152_WBR1_CF07683","SLE_WB","RED"
"11","CP152_WBR1_CF07686","SLE_WB","RED"
"12","CP152_WBR1_CF07691","SLE_WB","RED"
"13","CP152_WBR1_CF07736","SLE_WB","RED"
"14","CP152_WBR1_CF07740","SLE_WB","RED"
"15","CP152_WBR1_CF07774","SLE_WB","RED"
"16","CP152_WBR1_CF07784","SLE_WB","RED"
"17","CP152_WBR1_CF07786","SLE_WB","RED"
"18","CP152_WBR1_CF07790","SLE_WB","RED"
"19","CP152_WBR1_CF07841","SLE_WB","RED"
"20","CP152_WBR1_CF07850","SLE_WB","RED"
"21","CP152_WBR1_CF07865","SLE_WB","RED"
"22","CP152_WBR1_CF07866","SLE_WB","RED"
"23","CP152_WBR1_CF07872","SLE_WB","RED"
"24","CP152_WBR1_CF07921","SLE_WB","RED"
"25","CP152_WBR1_CF07929","SLE_WB","RED"
"26","CP152_WBR1_CF07963","SLE_WB","RED"
"27","CP152_WBR1_CF07968","SLE_WB","RED"
"28","CP152_WBR1_CF07971","SLE_WB","RED"
"29","CP152_WBR1_CF07983","SLE_WB","RED"
"30","CP152_WBR1_CF08061","SLE_WB","RED"
"31","CP152_WBR1_CF08103","SLE_WB","RED"
"32","CP152_WBR1_CF08109","SLE_WB","RED"
"33","CP152_WBR1_CF08113","SLE_WB","RED"
"34","CP152_WBR1_CF08131","SLE_WB","RED"
"35","CP152_WBR1_CF08136","SLE_WB","RED"
"36","CP152_WBR1_CF08152","SLE_WB","RED"
"37","CP152_WBR1_CF08160","SLE_WB","RED"
"38","CP152_WBR1_CF08191","SLE_WB","RED"
"39","CP152_WBR1_CF08227","SLE_WB","RED"
"40","CP152_WBR1_CF08231","SLE_WB","RED"
"41","CP152_WBR1_CF08232","SLE_WB","RED"
"42","CP152_WBR1_CF08238","SLE_WB","RED"
"43","CP152_WBR1_CF08241","SLE_WB","RED"
"44","CP152_WBR1_CF08243","SLE_WB","RED"
"45","CP152_WBR1_CF08253","SLE_WB","RED"
"46","CP152_WBR1_CF08254","SLE_WB","RED"
"47","CP152_WBR1_CF08260","SLE_WB","RED"
"48","CP152_WBR1_CF08261","SLE_WB","RED"
"49","CP152_WBR1_CF08267","SLE_WB","RED"
"50","CP152_WBR1_CF08276","SLE_WB","RED"
"51","CP152_WBR1_CF08310","SLE_WB","RED"
"52","CP152_WBR1_CF08311","SLE_WB","RED"
"53","CP152_WBR1_CF08317","SLE_WB","RED"
"54","CP152_WBR1_CF08335","SLE_WB","RED"
"55","CP152_WBR1_CF08343","SLE_WB","RED"
"56","CP152_WBR1_CF08344","SLE_WB","RED"
"57","CP152_WBR1_CF08347","SLE_WB","RED"
"58","CP152_WBR1_CF08355","SLE_WB","RED"
"59","CP152_WBR1_CF08362","SLE_WB","RED"
"60","CP152_WBR1_CF08381","SLE_WB","RED"
"61","CP152_WBR1_CF08410","SLE_WB","RED"
"62","CP152_WBR1_CF08414","SLE_WB","RED"
"63","CP152_WBR1_CF08425","SLE_WB","RED"
"64","CP152_WBR1_CF08441","SLE_WB","RED"
"65","CP152_WBR1_CF08462","SLE_WB","RED"
"66","CP152_WBR1_CF08465","SLE_WB","RED"
"67","CP152_WBR1_CF08498","SLE_WB","RED"
"68","CP152_WBR1_CF08512","SLE_WB","RED"
"69","CP152_WBR1_CF08524","SLE_WB","RED"
"70","CP152_WBR1_CF08525","SLE_WB","RED"
"71","CP152_WBR1_CF08536","SLE_WB","RED"
"72","CP152_WBR1_CF08538","SLE_WB","RED"
"73","CP152_WBR1_CF08541","SLE_WB","RED"
"74","CP152_WBR1_CF08543","SLE_WB","RED"
"75","CP152_WBR1_CF08548","SLE_WB","RED"
"76","CP152_WBR1_CF08551","SLE_WB","RED"
"77","CP152_WBR1_CF08552","SLE_WB","RED"
"78","CP152_WBR1_CF08556","SLE_WB","RED"
"79","CP152_WBR1_CF08565","SLE_WB","RED"
"80","CP152_WBR1_CF08588","SLE_WB","RED"
"81","CP152_WBR1_CF08592","SLE_WB","RED"
"82","CP152_WBR1_CF08593","SLE_WB","RED"
"83","CP152_WBR1_CF08597","SLE_WB","RED"
"84","CP152_WBR1_CF08604","SLE_WB","RED"
"85","CP152_WBR1_CF08621","SLE_WB","RED"
"86","CP152_WBR1_CF08632","SLE_WB","RED"
"87","CP152_WBR1_CF08641","SLE_WB","RED"
"88","CP152_WBR1_CF08684","SLE_WB","RED"
"89","CP152_WBR1_CF08692","SLE_WB","RED"
"90","CP152_WBR1_CF08693","SLE_WB","RED"
"91","CP152_WBR1_CF08694","SLE_WB","RED"
"92","CP152_WBR1_CF08695","SLE_WB","RED"
"93","CP152_WBR1_CF08696","SLE_WB","RED"
"94","CP152_WBR1_CF08711","SLE_WB","RED"
"95","CP152_WBR1_CF08718","SLE_WB","RED"
"96","CP152_WBR1_CF08746","SLE_WB","RED"
"97","CP152_WBR1_CF08749","SLE_WB","RED"
"98","CP152_WBR1_CF08754","SLE_WB","RED"
"99","CP152_WBR1_CF08755","SLE_WB","RED"
"100","CP152_WBR1_CF08757","SLE_WB","RED"
"101","CP152_WBR1_CF08792","SLE_WB","RED"
"102","CP152_WBR1_CF08793","SLE_WB","RED"
"103","CP152_WBR1_CF08794","SLE_WB","RED"
"104","CP152_WBR1_CF08867","SLE_WB","RED"
"105","CP152_WBR1_CF08952","SLE_WB","RED"
"106","CP152_WBR1_CF09006","SLE_WB","RED"
"107","CP152_WBR1_CF09008","SLE_WB","RED"
"108","CP152_WBR1_CF09031","SLE_WB","RED"
"109","CP152_WBR1_CF09092","SLE_WB","RED"
"110","CP152_WBR1_CF09096","SLE_WB","RED"
"111","CP152_WBR1_CF09099","SLE_WB","RED"
"112","CP152_WBR1_CF09143","SLE_WB","RED"
"113","CP152_WBR1_CF09149","SLE_WB","RED"
"114","CP152_WBR1_CF09190","SLE_WB","RED"
"115","CP152_WBR1_CF09251","SLE_WB","RED"
"116","CP152_WBR1_CF09265","SLE_WB","RED"
"117","CP152_WBR1_CF09311","SLE_WB","RED"
"118","CP152_WBR1_CF09314","SLE_WB","RED"
"119","CP152_WBR1_CF09333","SLE_WB","RED"
"120","CP152_WBR1_CF09412","SLE_WB","RED"
"121","CP152_WBR1_CF09435","SLE_WB","RED"
"122","CP152_WBR1_CF09454","SLE_WB","RED"
"123","CP152_WBR1_CF09468","SLE_WB","RED"
"124","CP152_WBR1_CF09476","SLE_WB","RED"
"125","CP152_WBR1_CF09502","SLE_WB","RED"
"126","CP152_WBR1_CF09503","SLE_WB","RED"
"127","CP152_WBR1_CF09510","SLE_WB","RED"
"128","CP152_WBR1_CF09511","SLE_WB","RED"
"129","CP152_WBR1_CF09531","SLE_WB","RED"
"130","CP152_WBR1_CF09533","SLE_WB","RED"
"131","CP152_WBR1_CF09534","SLE_WB","RED"
"132","CP152_WBR1_CF09541","SLE_WB","RED"
"133","CP152_WBR1_CF09544","SLE_WB","RED"
"134","CP152_WBR1_CF09546","SLE_WB","RED"
"135","CP152_WBR1_CF09549","SLE_WB","RED"
"136","CP152_WBR1_CF09551","SLE_WB","RED"
"137","CP152_WBR1_CF09581","SLE_WB","RED"
"138","CP152_WBR1_CF09606","SLE_WB","RED"
"139","CP152_WBR1_CF09607","SLE_WB","RED"
"140","CP152_WBR1_CF09608","SLE_WB","RED"
"141","CP152_WBR1_CF09609","SLE_WB","RED"
"142","CP152_WBR1_CF09613","SLE_WB","RED"
"143","CP152_WBR1_CF09641","SLE_WB","RED"
"144","CP152_WBR1_CF09696","SLE_WB","RED"
"145","CP152_WBR1_CF09733","SLE_WB","RED"
"146","CP152_WBR1_CF11963","SLE_WB","RED"
"147","CP152_WBR1_CF11968","SLE_WB","RED"
"148","CP152_WBR1_CF99643","SLE_WB","RED"
"149","CP152_WBR1_CF99644","SLE_WB","RED"
"150","CP152_WBR1_CF99645","SLE_WB","RED"
"151","CP152_WBR2_CF08306","SLE_WB","RED"
"152","CP152_WBR3_CF07616","SLE_WB","RED"
"153","CP179_WBR1_CS04201","SLE_WB","RED"
"154","CP179_WBR1_CS04202","SLE_WB","RED"
"155","CP179_WBR1_CS04204","SLE_WB","RED"
"156","CP179_WBR1_CS04207","SLE_WB","RED"
"157","CP179_WBR1_CS04209","SLE_WB","RED"
"158","CP179_WBR1_CS04217","SLE_WB","RED"
"159","CP179_WBR1_CS04248","SLE_WB","RED"
"160","CP179_WBR1_CS04249","SLE_WB","RED"
"161","CP179_WBR1_CS04250","SLE_WB","RED"
"162","CP179_WBR1_CS04294","SLE_WB","RED"
"163","CP179_WBR1_CS04295","SLE_WB","RED"
"164","CP179_WBR1_CS04296","SLE_WB","RED"
"165","CP179_WBR1_CS04300","SLE_WB","RED"
"166","CP179_WBR1_CS04304","SLE_WB","RED"
"167","CP179_WBR1_CS04308","SLE_WB","RED"
"168","CP179_WBR1_CS04317","SLE_WB","RED"
"169","CP179_WBR1_CS04324","SLE_WB","RED"
"170","CP179_WBR1_CS04328","SLE_WB","RED"
"171","CP179_WBR1_CS04331","SLE_WB","RED"
"172","CP179_WBR1_CS04337","SLE_WB","RED"
"173","CP179_WBR1_CS04339","SLE_WB","RED"
"174","CP179_WBR1_CS04343","SLE_WB","RED"
"175","CP179_WBR1_CS04344","SLE_WB","RED"
"176","CP179_WBR1_CS04362","SLE_WB","RED"
"177","CP179_WBR1_CS04413","SLE_WB","RED"
"178","CP179_WBR1_CS04414","SLE_WB","RED"
"179","CP179_WBR1_CS04424","SLE_WB","RED"
"180","CP179_WBR1_CS04503","SLE_WB","RED"
"181","CP179_WBR1_CS04542","SLE_WB","RED"
"182","CP179_WBR1_CS04557","SLE_WB","RED"
"183","CP179_WBR1_CS04558","SLE_WB","RED"
"184","CP179_WBR1_CS04581","SLE_WB","RED"
"185","CP179_WBR1_CS04584","SLE_WB","RED"
"186","CP179_WBR1_CS04599","SLE_WB","RED"
"187","CP179_WBR1_CS04631","SLE_WB","RED"
"188","CP179_WBR1_CS04634","SLE_WB","RED"
"189","CP179_WBR1_CS04673","SLE_WB","RED"
"190","CP179_WBR1_CS04674","SLE_WB","RED"
"191","CP179_WBR1_CS04688","SLE_WB","RED"
"192","CP179_WBR1_CS04690","SLE_WB","RED"
"193","CP179_WBR1_CS04726","SLE_WB","RED"
"194","CP179_WBR1_CS04755","SLE_WB","RED"
"195","CP179_WBR1_CS04757","SLE_WB","RED"
"196","CP179_WBR1_CS04773","SLE_WB","RED"
"197","CP179_WBR1_CS04780","SLE_WB","RED"
"198","CP179_WBR1_CS04802","SLE_WB","RED"
"199","CP179_WBR1_CS04817","SLE_WB","RED"
"200","CP179_WBR1_CS04818","SLE_WB","RED"
"201","CP179_WBR1_CS04848","SLE_WB","RED"
"202","CP179_WBR1_CS04857","SLE_WB","RED"
"203","CP179_WBR1_CS04866","SLE_WB","RED"
"204","CP179_WBR1_CS04913","SLE_WB","RED"
"205","CP179_WBR1_CS04914","SLE_WB","RED"
"206","CP179_WBR1_CS04916","SLE_WB","RED"
"207","CP179_WBR1_CS04929","SLE_WB","RED"
"208","CP179_WBR1_CS04930","SLE_WB","RED"
"209","CP179_WBR1_CS04940","SLE_WB","RED"
"210","CP179_WBR1_CS04942","SLE_WB","RED"
"211","CP179_WBR1_CS04952","SLE_WB","RED"
"212","CP179_WBR1_CS05008","SLE_WB","RED"
"213","CP179_WBR1_CS05021","SLE_WB","RED"
"214","CP179_WBR1_CS05027","SLE_WB","RED"
"215","CP179_WBR1_CS05088","SLE_WB","RED"
"216","CP179_WBR1_CS05116","SLE_WB","RED"
"217","CP179_WBR1_CS05128","SLE_WB","RED"
"218","CP179_WBR1_CS05139","SLE_WB","RED"
"219","CP179_WBR1_CS05142","SLE_WB","RED"
"220","CP179_WBR1_CS05178","SLE_WB","RED"
"221","CP179_WBR1_CS05182","SLE_WB","RED"
"222","CP179_WBR1_CS05197","SLE_WB","RED"
"223","CP179_WBR1_CS05198","SLE_WB","RED"
"224","CP179_WBR1_CS05202","SLE_WB","RED"
"225","CP179_WBR1_CS05220","SLE_WB","RED"
"226","CP179_WBR1_CS05225","SLE_WB","RED"
"227","CP179_WBR1_CS05271","SLE_WB","RED"
"228","CP179_WBR1_CS05316","SLE_WB","RED"
"229","CP179_WBR1_CS05333","SLE_WB","RED"
"230","CP179_WBR1_CS05416","SLE_WB","RED"
"231","CP179_WBR1_CS05418","SLE_WB","RED"
"232","CP179_WBR1_CS05461","SLE_WB","RED"
"233","CP179_WBR1_CS05481","SLE_WB","RED"
"234","CP179_WBR1_CS05488","SLE_WB","RED"
"235","CP179_WBR2_CS05028","SLE_WB","RED"
"236","D2800C00001_WBR1_DM00001","SLE_WB","RED"
"237","D2800C00001_WBR1_DM00004","SLE_WB","RED"
"238","D2800C00001_WBR1_DM00005","SLE_WB","RED"
"239","D2800C00001_WBR1_DM00022","SLE_WB","RED"
"240","D2800C00001_WBR1_DM00029","SLE_WB","RED"
"241","D2800C00001_WBR1_DM00032","SLE_WB","RED"
"242","D2800C00001_WBR1_DM00033","SLE_WB","RED"
"243","D2800C00001_WBR1_DM00034","SLE_WB","RED"
"244","D2800C00001_WBR1_DM00035","SLE_WB","RED"
"245","D2800C00001_WBR1_DM00038","SLE_WB","RED"
"246","D2800C00001_WBR1_DM00041","SLE_WB","RED"
"247","D2800C00001_WBR1_DM00042","SLE_WB","RED"
"248","D2800C00001_WBR1_DM00043","SLE_WB","RED"
"249","D2800C00001_WBR1_DM00044","SLE_WB","RED"
"250","D2800C00001_WBR1_DM00045","SLE_WB","RED"
"251","D2800C00001_WBR1_DM00047","SLE_WB","RED"
"252","D2800C00001_WBR1_DM00049","SLE_WB","RED"
"253","D2800C00001_WBR1_DM00050","SLE_WB","RED"
"254","D2800C00001_WBR1_DM01107","SLE_WB","RED"
"255","D2800C00001_WBR1_DM01110","SLE_WB","RED"
"256","D2800C00001_WBR1_DM01117","SLE_WB","RED"
"257","D2800C00001_WBR1_DM01139","SLE_WB","RED"
"259","MA43_1111","SLE_WB","RED"
"260","MA43_1118","SLE_WB","RED"
"261","MA43_1141","SLE_WB","RED"
"262","MA43_1151","SLE_WB","RED"
"263","MA43_1156","SLE_WB","RED"
"264","MA43_1161","SLE_WB","RED"
"265","MA43_1177","SLE_WB","RED"
"266","MA43_1221","SLE_WB","RED"
"267","MA43_1227b","SLE_WB","RED"
"268","MA43_1235","SLE_WB","RED"
"269","MA43_1244","SLE_WB","RED"
"270","MA43_1263","SLE_WB","RED"
"271","MA43_1279","SLE_WB","RED"
"272","MA43_1311","SLE_WB","RED"
"273","MA43_1321","SLE_WB","RED"
"274","MA43_1328","SLE_WB","RED"
"275","MA43_1331","SLE_WB","RED"
"276","MA43_1341","SLE_WB","RED"
"277","MA43_1356","SLE_WB","RED"
"278","MA43_1368","SLE_WB","RED"
"279","MA43_1376","SLE_WB","RED"
"280","MA43_1411b","SLE_WB","RED"
"281","MA43_1423","SLE_WB","RED"
"282","MA43_1434","SLE_WB","RED"
"283","MA43_1445","SLE_WB","RED"
"284","MA43_1449","SLE_WB","RED"
"285","MA43_1451","SLE_WB","RED"
"286","MA43_1455","SLE_WB","RED"
"287","MA43_1461","SLE_WB","RED"
"288","MA43_1473b","SLE_WB","RED"
"289","MA43_1503","SLE_WB","RED"
"290","MA43_1506","SLE_WB","RED"
"291","MA43_1531","SLE_WB","RED"
"292","MA43_1541","SLE_WB","RED"
"293","MA43_1551","SLE_WB","RED"
"294","MA43_1552","SLE_WB","RED"
"295","MA43_1585b","SLE_WB","RED"
"296","MA43_1594b","SLE_WB","RED"
"297","MA43_1602","SLE_WB","RED"
"298","MA43_1631","SLE_WB","RED"
"299","MA43_1632","SLE_WB","RED"
"300","MA43_1633","SLE_WB","RED"
"301","MA43_1634","SLE_WB","RED"
"302","MA43_1650","SLE_WB","RED"
"303","MA43_1658","SLE_WB","RED"
"304","MA43_1673","SLE_WB","RED"
"305","MA43_1686","SLE_WB","RED"
"306","MA43_1977","SLE_WB","RED"
"307","MA43_2005","SLE_WB","RED"
"308","MA43_2016","SLE_WB","RED"
"309","MA43_2051","SLE_WB","RED"
